ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
-53.86523,109.993744,19.494936,-139.56635,-183.58678,-8.446424,-65.98018,-8.1488905,95.371284,-70.3343,-70.110466,-74.29452,-53.969902,-45.89098,57.622177,-14.635785,-96.91408,-47.47065,-27.24082,-95.8104
-138.71124,-28.377714,-72.63705,-3.4628723,-4.517911,-35.489845,-24.659876,-170.97427,-36.5278,-75.403336,-120.682205,-22.198048,-26.958445,-54.342846,-151.4246,-103.63821,-44.20734,-9.9665165,-64.16137,-86.60392
114.730156,101.526024,95.40781,147.82481,167.7119,90.19609,139.1951,59.465008,78.43278,144.50035,148.8716,115.81788,128.90747,150.51851,19.979225,97.03674,141.9868,143.52354,124.76885,162.57224
194.88185,-112.241356,25.781776,38.220234,184.71425,-41.376713,-12.684609,157.71213,-7.797323,197.54213,226.16086,-92.00761,126.61953,161.01855,64.31211,84.678246,81.80264,85.73182,83.43257,218.84557
-91.920235,-118.2134,-59.229282,-230.75572,-86.70887,-94.39513,-185.81593,-107.74732,38.78686,28.042534,5.5251803,-250.92627,53.98997,40.785606,-1.3988804,-120.58138,-181.21457,51.537376,35.595894,-56.8028
114.52337,-64.3746,60.809387,61.563675,138.18045,19.709076,40.660995,56.51958,-17.14533,157.103,142.78355,-20.325422,108.45868,98.5902,-11.926513,71.30216,72.224335,56.847275,78.902275,151.4069
110.38111,197.44722,140.04214,74.84493,-45.0909,147.6552,120.10769,155.89214,111.58092,45.61932,62.116272,200.24948,18.214035,35.96526,166.04462,151.32497,98.21498,19.9933,76.059784,49.167614
-94.870094,-108.488846,-61.852585,-101.03169,-22.102388,-68.40324,-108.71924,-100.98373,-27.305298,-13.0380125,-42.23622,-140.47069,11.553841,-14.505186,-44.543167,-100.32898,-109.4712,9.834328,-8.39137,-65.339096
-100.23736,-2.4418595,-18.642565,-35.91767,-118.62939,2.3252952,-3.4990015,-85.53694,-44.47513,-124.497925,-136.89857,105.721146,-81.796,-126.84861,-65.57192,-42.977974,-50.10515,-102.33004,-61.684586,-127.37622
91.33978,173.41173,173.63109,106.45369,-34.86217,171.18083,141.11044,77.03483,165.29393,78.332275,43.3638,126.13855,94.9105,29.166332,148.45026,131.66972,78.73978,38.535492,98.01152,39.933846
-138.74919,-120.531746,-72.742874,-98.712,-146.8867,-74.28948,-105.935905,-109.68865,-91.40727,-141.53644,-185.79895,-162.91069,-114.27532,-182.74295,-71.55936,-104.77149,-136.25505,-168.79651,-150.28964,-171.09828
28.686806,-69.10588,-142.28848,-16.389856,178.38718,-144.58112,-74.96859,-12.408295,-76.09236,38.075,87.682686,-66.53074,-2.122301,116.05715,-117.43769,-59.55045,41.14536,83.41643,-29.453463,115.52956
7.511847,-160.84645,-49.185623,-121.71839,-139.11353,-73.65144,-106.28017,111.872246,-143.20142,-106.61443,-70.223526,-91.47469,-157.4145,-151.45494,48.79604,-6.7830715,-101.62329,-213.17838,-126.16809,-91.09205
-140.28677,-84.55978,-125.60096,-7.688208,7.209092,-91.62099,-35.461094,-150.14151,-104.635086,-113.88304,-97.4702,-82.24635,-84.99247,-61.155,-148.41484,-139.87671,-64.04294,-30.03886,-78.31201,-87.064995
106.58617,69.7642,50.52917,13.896177,85.994026,16.35307,26.561003,106.69791,69.0374,100.85982,148.64764,91.05887,83.307396,120.86575,64.74492,67.866714,57.833614,106.38955,120.77057,115.17442
-39.242012,-217.6884,-120.32787,-182.41328,-53.96753,-167.90652,-198.18306,-11.002014,-131.99097,-57.29478,-65.37513,-187.63966,-86.25974,-95.25162,-69.16297,-79.29624,-128.688,-143.99252,-152.13602,-59.187054
-75.08244,38.735287,-22.581112,189.7097,184.35303,35.947094,111.78297,-200.38873,27.834652,43.63827,-23.429,6.9060345,109.4259,83.30352,-127.34837,-58.254986,104.77081,154.60054,43.124584,45.081066
132.11244,65.74316,65.773926,40.27558,-3.6929271,45.725597,62.845703,180.55048,2.1028259,25.514467,74.151245,108.346886,-40.075134,7.503089,86.31111,122.074844,74.061966,-50.23366,-0.0987068,72.23502
-63.978455,110.754684,48.65377,25.495283,-48.7191,81.6307,50.660004,-62.861084,105.66784,-9.382532,-36.82248,22.683311,43.479683,7.159244,42.53752,-20.310116,-24.979925,69.274376,65.81805,-56.763123
